response,context1,context2,context3,context4,context5,context6,context7
"Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same."
"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all."
Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.
"You're a wizard, Harry.",Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?"
I'm a what?,"You're a wizard, Harry.",Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?"
A wizard.,I'm a what?,"You're a wizard, Harry.",Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts."
"And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, Harry.",Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts."
"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, Harry.",Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no."
I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, Harry.",Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, Harry.",Learnt what?
Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, Harry."
"Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?
"Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.
"Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little."
"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""""""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake."
He will not be going there!,"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""""""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.
We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""""""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry."
You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""""""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.
You knew all along and you never told me?,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""""""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?"
Of course we knew.,You knew all along and you never told me?,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""""""","Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?"
How could you not be?,Of course we knew.,You knew all along and you never told me?,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""""""","Dear Mr. Potter,"
My perfect sister being who she was.,How could you not be?,Of course we knew.,You knew all along and you never told me?,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,"""We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry."""""""
My mother and father were so proud the day she got her letter.,My perfect sister being who she was.,How could you not be?,Of course we knew.,You knew all along and you never told me?,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!
We have a witch in the family.,My mother and father were so proud the day she got her letter.,My perfect sister being who she was.,How could you not be?,Of course we knew.,You knew all along and you never told me?,You knew? ,We swore when we took him in we'd put a stop to all this rubbish.
"""Isn't it wonderful?""""""",We have a witch in the family.,My mother and father were so proud the day she got her letter.,My perfect sister being who she was.,How could you not be?,Of course we knew.,You knew all along and you never told me?,You knew? 
I was the only one to see her for what she was.,"""Isn't it wonderful?""""""",We have a witch in the family.,My mother and father were so proud the day she got her letter.,My perfect sister being who she was.,How could you not be?,Of course we knew.,You knew all along and you never told me?
A freak!,I was the only one to see her for what she was.,"""Isn't it wonderful?""""""",We have a witch in the family.,My mother and father were so proud the day she got her letter.,My perfect sister being who she was.,How could you not be?,Of course we knew.
"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.,"""Isn't it wonderful?""""""",We have a witch in the family.,My mother and father were so proud the day she got her letter.,My perfect sister being who she was.,How could you not be?
and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.,"""Isn't it wonderful?""""""",We have a witch in the family.,My mother and father were so proud the day she got her letter.,My perfect sister being who she was.
"Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.,"""Isn't it wonderful?""""""",We have a witch in the family.,My mother and father were so proud the day she got her letter.
"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.,"""Isn't it wonderful?""""""",We have a witch in the family.
And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.,"""Isn't it wonderful?"""""""
Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!,I was the only one to see her for what she was.
You told me my parents died in a car crash.,Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you...",A freak!
A car crash? ,You told me my parents died in a car crash.,Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you..."
